tic_id,label,sectors,morphology,source,flags
91961,eclipsing_binary,"11, 38",0.175,LCF,
101462,eclipsing_binary,"11, 38, 65",0.166,LCF,
120016,eclipsing_binary,"11, 38, 65",0.849,LCF,
627436,eclipsing_binary,"5, 32",0.817,LCF,
737546,eclipsing_binary,"5, 32",0.568,LCF,
927579,eclipsing_binary,"7, 8, 34, 61, 88",0.331,LCF,
1003831,eclipsing_binary,"8, 34, 61, 88",0.235,LCF,A
1045298,eclipsing_binary,4,0.641,LCF,A
1103432,eclipsing_binary,"8, 34, 61, 88",0.319,LCF,
1129033,eclipsing_binary,"4, 31",0.497,LCF,A
1129452,eclipsing_binary,"4, 31",0.988,LCF,
1190662,eclipsing_binary,"8, 35, 61, 62",0.281,LCF,
1202347,eclipsing_binary,"8, 34, 35, 61, 62, 88",0.354,LCF,
1220444,eclipsing_binary,"5, 32",0.173,LCF,
1230647,eclipsing_binary,"8, 35, 62",0.586,LCF,
1449640,eclipsing_binary,"5, 32",0.396,LCF,A
1450518,eclipsing_binary,"5, 32",0.650,LCF,
1630438,eclipsing_binary,"10, 37, 46, 63",0.989,LCF,
1630690,eclipsing_binary,"10, 37, 63",0.965,LCF,
2020964,eclipsing_binary,"8, 35, 61, 62, 88",0.559,LCF,A
2234723,eclipsing_binary,"19, 43, 44, 45, 59, 71, 73, 86",0.594,LCF,
2236015,eclipsing_binary,"19, 43, 44, 45, 59, 71, 73, 86",0.373,LCF,
2353789,eclipsing_binary,"8, 35, 61, 62",0.425,LCF,
2372579,eclipsing_binary,"13, 27",0.082,LCF,
2595273,eclipsing_binary,"19, 43, 44, 45, 59, 71, 73, 86",0.421,LCF,
2758565,eclipsing_binary,"2, 29, 69",0.658,LCF,
3034524,eclipsing_binary,"19, 43, 44, 45, 59, 71, 73, 86",0.556,LCF,A
3311888,eclipsing_binary,"19, 43, 44, 45, 59, 73, 86",0.720,LCF,
3815360,eclipsing_binary,"3, 30",0.060,LCF,A
3816260,eclipsing_binary,"3, 30, 42, 43, 70",0.122,LCF,
3921749,eclipsing_binary,"3, 30, 42, 43, 70",0.175,LCF,
4164713,eclipsing_binary,"20, 44, 45, 46, 47, 60",0.832,LCF,
4206238,eclipsing_binary,"6, 32",0.267,LCF,A
4247738,eclipsing_binary,"20, 44, 45, 46, 47, 60, 71, 72",0.347,LCF,
4254645,eclipsing_binary,"6, 32",0.535,LCF,A
4299830,eclipsing_binary,"20, 44, 45, 46, 47, 60, 71, 72",0.427,LCF,
4629065,eclipsing_binary,"4, 31",0.279,LCF,
4723156,eclipsing_binary,"4, 31",0.026,LCF,
4742129,eclipsing_binary,"4, 31",0.375,LCF,
4957914,eclipsing_binary,"21, 48",0.503,LCF,
4971740,eclipsing_binary,"21, 48",0.360,LCF,
5092088,eclipsing_binary,"8, 9, 35, 36, 62",0.231,LCF,
5205367,eclipsing_binary,"26, 53, 79, 80",0.485,LCF,
5364915,eclipsing_binary,"8, 35, 62",0.159,LCF,
5506314,eclipsing_binary,"9, 35, 62",1.016,LCF,
5674169,eclipsing_binary,"18, 58, 85",0.854,LCF,
5703872,eclipsing_binary,"8, 9, 35, 36, 62",0.163,LCF,
5868998,eclipsing_binary,"10, 37",0.443,LCF,
5969274,eclipsing_binary,"10, 37, 46, 64",0.528,LCF,
5981829,eclipsing_binary,"10, 37, 64",0.607,LCF,
6400274,eclipsing_binary,"13, 67",0.512,LCF,
6518047,eclipsing_binary,"7, 34, 88",0.489,LCF,
6667908,eclipsing_binary,"13, 67",0.298,LCF,A
7211118,eclipsing_binary,"7, 34, 88",0.534,LCF,
7418947,eclipsing_binary,"4, 5, 6, 31, 32, 33, 87",0.732,LCF,
7695666,eclipsing_binary,"4, 5, 31, 32",0.093,LCF,
7724421,eclipsing_binary,"4, 5, 31, 32",0.822,LCF,
7849727,eclipsing_binary,"14, 26, 40, 52, 53, 54, 74, 79, 80",0.635,LCF,
7851729,eclipsing_binary,"14, 26, 40, 41, 52, 53, 54, 74, 79, 80, 81",0.614,LCF,
7854182,eclipsing_binary,"14, 25, 26, 40, 41, 52, 53, 54, 74, 79, 80, 81",0.615,LCF,
8200343,eclipsing_binary,"21, 48",0.086,LCF,
8245065,eclipsing_binary,"21, 48",0.748,LCF,
8592033,eclipsing_binary,"24, 25, 51, 52, 78, 79",0.629,LCF,
8624617,eclipsing_binary,"24, 25, 51, 52, 78, 79",0.602,LCF,
8669966,eclipsing_binary,"24, 25, 51, 52, 78, 79",0.900,LCF,
8673277,eclipsing_binary,"24, 25, 51, 52, 78, 79",0.804,LCF,
8677671,eclipsing_binary,"21, 48",0.564,LCF,
8766412,eclipsing_binary,"21, 48",0.909,LCF,
8769657,eclipsing_binary,"21, 48",0.574,LCF,
8895896,eclipsing_binary,"19, 59, 73, 86",0.198,LCF,
8989778,eclipsing_binary,"2, 29, 42, 70",0.791,LCF,
9033144,eclipsing_binary,"2, 29, 69",0.122,LCF,
9036901,eclipsing_binary,"23, 24, 50, 77",0.599,LCF,
9054370,eclipsing_binary,"2, 29, 42, 70",0.290,LCF,
9058724,eclipsing_binary,"23, 24, 50, 77",0.442,LCF,
9070070,eclipsing_binary,"2, 29, 42, 70",0.831,LCF,
9172417,eclipsing_binary,"5, 32",0.655,LCF,
9209932,eclipsing_binary,"2, 29, 69",0.450,LCF,
9361438,eclipsing_binary,"21, 48",0.140,LCF,
9380768,eclipsing_binary,"5, 32",0.459,LCF,
9381557,eclipsing_binary,"5, 32",0.480,LCF,
9391285,eclipsing_binary,"22, 48",0.303,LCF,
9433212,eclipsing_binary,"5, 32",0.200,LCF,
9461737,eclipsing_binary,"22, 49",0.574,LCF,
9473243,eclipsing_binary,"25, 26, 52, 79",0.536,LCF,
9727392,eclipsing_binary,"2, 29, 42, 69, 70",0.376,LCF,
9825731,eclipsing_binary,"25, 26, 52, 53, 79",0.700,LCF,
9845586,eclipsing_binary,"4, 31",0.719,LCF,
9945183,eclipsing_binary,"4, 31",0.531,LCF,
10048801,eclipsing_binary,"20, 47",0.459,LCF,
10057647,eclipsing_binary,"20, 47",0.076,LCF,
10393493,eclipsing_binary,"25, 26, 40, 52, 53, 79, 80",0.789,LCF,
10467747,eclipsing_binary,"25, 26, 40, 52, 53, 79, 80",0.530,LCF,A
10756751,eclipsing_binary,"3, 30, 42, 43, 70",0.571,LCF,
10838695,eclipsing_binary,"3, 30",0.527,LCF,
10891640,eclipsing_binary,"14, 41, 54, 81",0.522,LCF,
11002748,eclipsing_binary,"5, 31",0.669,LCF,
11046410,eclipsing_binary,"5, 31",0.439,LCF,
11070365,eclipsing_binary,"7, 34, 61",0.560,LCF,A
11113164,eclipsing_binary,"14, 15, 41, 54, 55, 75, 81, 82",0.629,LCF,
11119600,eclipsing_binary,"14, 15, 41, 54, 55, 75, 81, 82",0.532,LCF,A
11286209,eclipsing_binary,"6, 32",0.572,LCF,
11437325,eclipsing_binary,"18, 58, 85",0.521,LCF,
11480287,eclipsing_binary,"14, 15, 41, 54, 55, 75, 81",0.600,LCF,
11480757,eclipsing_binary,"14, 15, 41, 54, 55, 75, 81, 82",0.862,LCF,
11487334,eclipsing_binary,"3, 30",0.809,LCF,
11491822,eclipsing_binary,"20, 60, 73",0.207,LCF,
11546041,eclipsing_binary,"3, 30",0.778,LCF,
11561667,eclipsing_binary,"9, 35, 62",0.286,LCF,
11598102,eclipsing_binary,"3, 30",0.779,LCF,
11704852,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.548,LCF,
11748495,eclipsing_binary,"8, 34, 35, 61, 62, 88",0.514,LCF,
11756637,eclipsing_binary,"6, 33, 87",0.191,LCF,
11793277,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.610,LCF,
11799872,eclipsing_binary,"20, 60, 73",0.364,LCF,
11799874,eclipsing_binary,"20, 60, 73",0.366,LCF,
