toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep
"1017.01",182943944,"FP",1.1042200,2.3700000,14177.7000000
"1018.01",291555748,"FP",4.9591200,2.5090000,7440.0000000
"1019.01",341420329,"PC",5.2341008,3.7078139,20796.9416293
"102.01",149603524,"KP",4.4119372,3.6321285,14711.8810303
"1020.01",140706664,"FP",3.2889200,3.7930000,10518.9000000
"1021.01",143994283,"FP",1.9087900,1.9090000,618.4820000
"1022.01",47384844,"FA",3.0957400,4.4750000,380.0000000
"1023.01",238374636,"FP",1.3214483,3.4350000,2180.0000000
"1024.01",141482386,"FP",18.0157000,2.5240000,610.0000000
"1025.01",297967252,"FP",9.6837908,1.6988586,4965.2496516
"1026.01",388624270,"FP",14.2628757,6.9350494,913.2067174
"1027.01",20318757,"PC",3.2834565,1.5370000,1558.0000000
"1027.02",20318757,"PC",11.0287500,2.7150000,1694.0000000
"1027.03",20318757,"PC",5.0113292,1.0240000,1210.0000000
"1028.01",447283466,"FP",1.0160600,2.8430000,240.0000000
"1029.01",374908020,"FP",36.2221400,5.1070000,7170.0000000
"103.01",336732616,"KP",3.5478540,3.4943330,10424.3718000
"1030.01",464296022,"FP",12.1246519,4.6120000,7279.0000000
"1031.01",304021498,"FP",5.6526230,3.4340000,1250.0000000
"1032.01",146589986,"PC",5.6643704,3.8087395,3491.8232968
"1033.01",149601557,"FP",29.0161646,5.3450000,1238.3381592
"1034.01",400595342,"FP",3.6404389,2.5339234,476.3077321
"1035.01",361413119,"PC",6.0744477,2.4954821,5982.5212406
"1036.01",146172354,"PC",3.7795212,2.9520000,2761.0000000
"1037.01",363260203,"FP",1.2025238,1.9910000,390.0000000
"1038.01",90544017,"FP",3.2235985,2.1590000,680.0000000
"1039.01",461867584,"APC",4.4201250,3.9560000,2466.0000000
"104.01",231670397,"KP",4.0872956,5.5861130,3572.1712499
"1040.01",310483807,"FP",2.5555500,1.5660000,397.9246747
"1041.01",385624852,"FP",8.3079200,3.2280000,8350.0000000
"1042.01",360286627,"FP",0.7580820,1.8184632,583.9318100
"1043.01",90448944,"FP",1.4415577,2.3490000,507.0000000
"1044.01",463402815,"PC",1.0085089,1.6420000,3051.0000000
"1045.01",54044474,"FP",3.7039994,4.2770000,7590.0000000
"1046.01",309787037,"FP",1.3042553,1.7060000,914.0000000
"1047.01",370745311,"FP",0.6262700,0.6660000,1880.0000000
"1063.01",406976746,"PC",10.0665238,2.4023189,839.9044871
"1064.01",79748331,"CP",6.4438657,1.9309449,1121.9512275
"1064.02",79748331,"CP",12.2265595,2.1904379,1206.3693293
"1065.01",7088246,"KP",2.1605155,1.4806956,13774.8794619
"1066.01",201604954,"KP",4.6061840,3.1216430,13793.0348670
"1067.01",201642601,"KP",3.1316735,2.4579197,14915.6943722
"1068.01",6663331,"KP",3.1803620,2.1115210,21192.4633240
"1069.01",31858843,"KP",2.9776446,2.9620000,13022.0000000
"107.01",92352620,"KP",3.9502008,4.4440000,13914.0000000
"1070.01",31858844,"FP",2.9776152,3.2569700,43218.1116830
"1071.01",120247528,"KP",3.5544026,2.0550535,10164.8753396
"1072.01",140830390,"FP",12.8379689,9.8464123,10539.0192794
"1073.01",158297421,"CP",3.9228016,1.8736007,31510.9004906
"1074.01",327301957,"PC",13.9428705,3.7522756,1015.3955430
"1075.01",351601843,"CP",0.6047392,1.0403847,1027.6833479
"1076.01",360742636,"KP",2.5495611,2.6173308,14921.4021936
"1077.01",369960846,"PC",1.6062693,1.9561305,16725.3019333
"1048.01",384549882,"FP",0.3041200,0.7480000,1330.0000000
"1049.01",16288184,"KP",2.1805333,2.9443745,16399.8584641
"105.01",144065872,"KP",2.1846669,2.6989102,11535.5475157
